Region,Products,August 31st
Ajmer,Wheat Flour,47
Ajmer,Rice Flour,0
Ajmer,Besan,97
Ajmer,Ragi Flour,8
Ajmer,Jowar Flour,9
Ajmer,Corn Flour,13
Mandawa,Corn Flour,6
Mandawa,Ragi Flour,15
Mandawa,Jowar Flour,0
Mandawa,Besan,97
Mandawa,Wheat Flour,0
Mandawa,Rice Flour,33
Alwar,Besan,93
Alwar,Wheat Flour,0
Alwar,Corn Flour,3
Alwar,Ragi Flour,19
Alwar,Jowar Flour,0
Alwar,Rice Flour,44
Tonk,Ragi Flour,16
Tonk,Rice Flour,7
Tonk,Besan,75
Tonk,Jowar Flour,0
Tonk,Wheat Flour,52
Tonk,Corn Flour,0
