SalesID,Region,Product,SalesDate,Packets,Price per Packets
AJ22445,Ajmer,Wheat Flour,2024-08-01,32,65
AJ22565,Ajmer,Rice Flour,2024-08-01,36,78
AJ22685,Ajmer,Besan,2024-08-01,12,170
AJ22805,Ajmer,Ragi Flour,2024-08-01,4,90
AJ22925,Ajmer,Jowar Flour,2024-08-01,6,80
AJ23045,Ajmer,Corn Flour,2024-08-01,6,82
AJ23165,Ajmer,Wheat Flour,2024-08-02,10,65
AJ23285,Ajmer,Ragi Flour,2024-08-02,5,90
AJ23405,Ajmer,Besan,2024-08-02,4,170
AJ23525,Ajmer,Wheat Flour,2024-08-03,16,65
AJ23645,Ajmer,Rice Flour,2024-08-03,30,78
AJ23765,Ajmer,Besan,2024-08-03,9,170
AJ23885,Ajmer,Ragi Flour,2024-08-03,10,90
AJ24005,Ajmer,Jowar Flour,2024-08-03,3,80
AJ24125,Ajmer,Corn Flour,2024-08-04,6,82
AJ24245,Ajmer,Wheat Flour,2024-08-04,23,65
AJ24365,Ajmer,Rice Flour,2024-08-04,31,78
AJ24485,Ajmer,Besan,2024-08-04,10,170
AJ24605,Ajmer,Ragi Flour,2024-08-04,12,90
AJ24725,Ajmer,Jowar Flour,2024-08-04,3,80
AJ24845,Ajmer,Corn Flour,2024-08-05,5,82
AJ24965,Ajmer,Wheat Flour,2024-08-05,33,65
AJ25085,Ajmer,Rice Flour,2024-08-06,25,78
AJ25205,Ajmer,Besan,2024-08-06,9,170
AJ25325,Ajmer,Corn Flour,2024-08-06,8,82
AJ25445,Ajmer,Wheat Flour,2024-08-06,18,65
AJ25565,Ajmer,Rice Flour,2024-08-07,14,78
AJ25685,Ajmer,Wheat Flour,2024-08-07,21,65
AJ25805,Ajmer,Wheat Flour,2024-08-08,15,65
AJ25925,Ajmer,Corn Flour,2024-08-08,8,82
AJ26045,Ajmer,Jowar Flour,2024-08-08,3,80
AJ26165,Ajmer,Rice Flour,2024-08-08,26,78
AJ26285,Ajmer,Besan,2024-08-08,4,170
AJ26405,Ajmer,Ragi Flour,2024-08-08,11,90
AJ26525,Ajmer,Jowar Flour,2024-08-09,6,80
AJ26645,Ajmer,Corn Flour,2024-08-09,5,82
AJ26765,Ajmer,Besan,2024-08-09,15,170
AJ26885,Ajmer,Wheat Flour,2024-08-09,25,65
AJ27005,Ajmer,Rice Flour,2024-08-09,38,78
AJ27125,Ajmer,Ragi Flour,2024-08-10,3,90
AJ27245,Ajmer,Wheat Flour,2024-08-10,23,65
AJ27365,Ajmer,Rice Flour,2024-08-10,12,78
AJ27485,Ajmer,Wheat Flour,2024-08-11,19,65
AJ27605,Ajmer,Rice Flour,2024-08-11,26,78
AJ27725,Ajmer,Besan,2024-08-11,15,170
AJ27845,Ajmer,Corn Flour,2024-08-11,4,82
AJ27965,Ajmer,Jowar Flour,2024-08-11,6,80
AJ28085,Ajmer,Rice Flour,2024-08-12,20,78
AJ28205,Ajmer,Besan,2024-08-12,10,170
AJ28325,Ajmer,Ragi Flour,2024-08-12,9,90
AJ28445,Ajmer,Jowar Flour,2024-08-12,4,80
AJ28565,Ajmer,Corn Flour,2024-08-12,7,82
AJ28685,Ajmer,Wheat Flour,2024-08-12,27,65
AJ28805,Ajmer,Wheat Flour,2024-08-13,12,65
AJ28925,Ajmer,Ragi Flour,2024-08-14,1,90
AJ29045,Ajmer,Wheat Flour,2024-08-15,19,65
AJ29165,Ajmer,Rice Flour,2024-08-15,15,78
AJ29285,Ajmer,Ragi Flour,2024-08-15,12,90
AJ29405,Ajmer,Jowar Flour,2024-08-15,7,80
AJ29525,Ajmer,Corn Flour,2024-08-15,8,82
AJ29645,Ajmer,Ragi Flour,2024-08-16,5,90
