SalesID,Region,Product,SalesDate,Packets,Price per Packets
AL38385,Alwar,Jowar Flour,2024-08-01,5,80
AL38605,Alwar,Wheat Flour,2024-08-01,36,65
AL38825,Alwar,Rice Flour,2024-08-01,19,78
AL39045,Alwar,Besan,2024-08-01,4,170
AL39265,Alwar,Ragi Flour,2024-08-01,7,90
AL39485,Alwar,Besan,2024-08-02,3,170
AL39705,Alwar,Wheat Flour,2024-08-02,18,65
AL39925,Alwar,Rice Flour,2024-08-02,9,78
AL40145,Alwar,Ragi Flour,2024-08-02,8,90
AL40365,Alwar,Jowar Flour,2024-08-02,2,80
AL40585,Alwar,Corn Flour,2024-08-02,3,82
AL40805,Alwar,Besan,2024-08-03,4,170
AL41025,Alwar,Wheat Flour,2024-08-04,32,65
AL41245,Alwar,Rice Flour,2024-08-04,13,78
AL41465,Alwar,Ragi Flour,2024-08-04,5,90
AL41685,Alwar,Jowar Flour,2024-08-04,5,80
AL41905,Alwar,Rice Flour,2024-08-05,16,78
AL42125,Alwar,Besan,2024-08-05,8,170
AL42345,Alwar,Wheat Flour,2024-08-05,23,65
AL42565,Alwar,Ragi Flour,2024-08-06,5,90
AL42785,Alwar,Jowar Flour,2024-08-06,3,80
AL43005,Alwar,Corn Flour,2024-08-06,8,82
AL43225,Alwar,Wheat Flour,2024-08-06,32,65
AL43445,Alwar,Rice Flour,2024-08-06,5,78
AL43665,Alwar,Besan,2024-08-07,6,170
AL43885,Alwar,Rice Flour,2024-08-07,11,78
AL44105,Alwar,Wheat Flour,2024-08-07,28,65
AL44325,Alwar,Besan,2024-08-08,6,170
AL44545,Alwar,Rice Flour,2024-08-08,20,78
AL44765,Alwar,Jowar Flour,2024-08-08,2,80
AL44985,Alwar,Corn Flour,2024-08-08,8,82
AL45205,Alwar,Wheat Flour,2024-08-08,37,65
AL45425,Alwar,Rice Flour,2024-08-09,17,78
AL45645,Alwar,Besan,2024-08-09,6,170
AL45865,Alwar,Jowar Flour,2024-08-09,4,80
AL46085,Alwar,Corn Flour,2024-08-09,4,82
AL46305,Alwar,Wheat Flour,2024-08-09,11,65
AL46525,Alwar,Rice Flour,2024-08-09,18,78
AL46745,Alwar,Wheat Flour,2024-08-10,28,65
AL46965,Alwar,Ragi Flour,2024-08-10,6,90
AL47185,Alwar,Besan,2024-08-10,8,170
AL47405,Alwar,Besan,2024-08-11,9,170
AL47625,Alwar,Wheat Flour,2024-08-11,20,65
AL47845,Alwar,Rice Flour,2024-08-11,5,78
AL48065,Alwar,Besan,2024-08-12,3,170
AL48285,Alwar,Corn Flour,2024-08-12,4,82
AL48505,Alwar,Rice Flour,2024-08-12,20,78
AL48725,Alwar,Ragi Flour,2024-08-13,5,90
AL48945,Alwar,Jowar Flour,2024-08-14,4,80
AL49165,Alwar,Corn Flour,2024-08-14,8,82
AL49385,Alwar,Wheat Flour,2024-08-14,40,65
AL49605,Alwar,Rice Flour,2024-08-14,16,78
AL49825,Alwar,Besan,2024-08-14,7,170
AL50045,Alwar,Corn Flour,2024-08-15,6,82
AL50265,Alwar,Wheat Flour,2024-08-15,3,65
AL50485,Alwar,Rice Flour,2024-08-15,7,78
AL50705,Alwar,Besan,2024-08-15,3,170
AL50925,Alwar,Ragi Flour,2024-08-15,6,90
AL51145,Alwar,Wheat Flour,2024-08-16,13,65
AL51365,Alwar,Rice Flour,2024-08-17,12,78
AL51585,Alwar,Besan,2024-08-17,9,170
AL51805,Alwar,Jowar Flour,2024-08-17,5,80
AL52025,Alwar,Besan,2024-08-18,4,170
AL52245,Alwar,Ragi Flour,2024-08-18,9,90
AL52465,Alwar,Wheat Flour,2024-08-18,24,65
AL52685,Alwar,Rice Flour,2024-08-19,5,78
AL52905,Alwar,Wheat Flour,2024-08-19,27,65
AL53125,Alwar,Besan,2024-08-19,4,170
AL53345,Alwar,Rice Flour,2024-08-20,13,78
AL53565,Alwar,Ragi Flour,2024-08-22,6,90
AL53785,Alwar,Jowar Flour,2024-08-23,5,80
AL54005,Alwar,Wheat Flour,2024-08-23,31,65
AL54225,Alwar,Rice Flour,2024-08-23,25,78
AL54445,Alwar,Besan,2024-08-23,5,170
AL54665,Alwar,Corn Flour,2024-08-23,6,82
AL54885,Alwar,Besan,2024-08-24,3,170
AL55105,Alwar,Wheat Flour,2024-08-24,32,65
AL55325,Alwar,Corn Flour,2024-08-24,4,82
AL55545,Alwar,Jowar Flour,2024-08-25,5,80
AL55765,Alwar,Rice Flour,2024-08-25,23,78
AL55985,Alwar,Ragi Flour,2024-08-25,5,90
AL56205,Alwar,Jowar Flour,2024-08-26,3,80
AL56425,Alwar,Corn Flour,2024-08-27,3,82
AL56645,Alwar,Wheat Flour,2024-08-28,40,65
AL56865,Alwar,Rice Flour,2024-08-28,8,78
AL57085,Alwar,Besan,2024-08-29,2,170
AL57305,Alwar,Ragi Flour,2024-08-29,10,90
AL57525,Alwar,Jowar Flour,2024-08-29,2,80
AL57745,Alwar,Corn Flour,2024-08-29,3,82
AL57965,Alwar,Wheat Flour,2024-08-30,26,65
AL58185,Alwar,Rice Flour,2024-08-30,21,78
AL58405,Alwar,Besan,2024-08-30,6,170
AL58625,Alwar,Ragi Flour,2024-08-31,7,90
AL58845,Alwar,Besan,2024-08-31,6,170
AL59065,Alwar,Corn Flour,2024-08-31,5,82
AL59285,Alwar,Rice Flour,2024-08-31,11,78
AL59505,Alwar,Jowar Flour,2024-08-31,5,80
