SalesID,Region,Product,SalesDate,Packets,Price per Packets,,,,,
MA36965,Mandawa,Besan,2024-08-01,7,170,,,,,
MA55665,Mandawa,Wheat Flour,2024-08-01,10,65,,,,,
MA74365,Mandawa,Rice Flour,2024-08-01,5,78,,,,,
MA93065,Mandawa,Ragi Flour,2024-08-01,8,90,,,,,
MA11765,Mandawa,Jowar Flour,2024-08-01,2,80,,,,,
MA13465,Mandawa,Corn Flour,2024-08-01,4,82,,,,,
MA15165,Mandawa,Besan,2024-08-02,3,170,,,,,
MA16865,Mandawa,Wheat Flour,2024-08-02,38,65,,,,,
MA18565,Mandawa,Rice Flour,2024-08-02,17,78,,,,,
MA20265,Mandawa,Ragi Flour,2024-08-02,7,90,,,,,
MA21965,Mandawa,Jowar Flour,2024-08-02,3,80,,,,,
MA23665,Mandawa,Wheat Flour,2024-08-03,25,65,,,,,
MA25365,Mandawa,Rice Flour,2024-08-03,5,78,,,,,
MA27065,Mandawa,Besan,2024-08-04,3,170,,,,,
MA28765,Mandawa,Ragi Flour,2024-08-04,10,90,,,,,
MA30465,Mandawa,Jowar Flour,2024-08-04,7,80,,,,,
MA32165,Mandawa,Corn Flour,2024-08-04,4,82,,,,,
MA33865,Mandawa,Wheat Flour,2024-08-04,7,65,,,,,
MA35565,Mandawa,Rice Flour,2024-08-05,10,78,,,,,
MA37265,Mandawa,Besan,2024-08-05,7,170,,,,,
MA38965,Mandawa,Wheat Flour,2024-08-06,20,65,,,,,
MA40665,Mandawa,Besan,2024-08-06,8,170,,,,,
MA42365,Mandawa,Rice Flour,2024-08-06,26,78,,,,,
MA44065,Mandawa,Jowar Flour,2024-08-06,6,80,,,,,
MA45765,Mandawa,Corn Flour,2024-08-06,6,82,,,,,
MA47465,Mandawa,Wheat Flour,2024-08-07,31,65,,,,,
MA49165,Mandawa,Rice Flour,2024-08-08,4,78,,,,,
MA50865,Mandawa,Besan,2024-08-08,5,170,,,,,
MA52565,Mandawa,Jowar Flour,2024-08-08,5,80,,,,,
MA54265,Mandawa,Corn Flour,2024-08-08,6,82,,,,,
MA55965,Mandawa,Wheat Flour,2024-08-08,22,65,,,,,
