SalesID,Region,Product,SalesDate,Packets,Price per Packets
TO24405,Tonk,Ragi Flour,2024-08-01,13,90
TO24505,Tonk,Jowar Flour,2024-08-01,4,80
TO24605,Tonk,Corn Flour,2024-08-01,3,82
TO24705,Tonk,Wheat Flour,2024-08-01,21,65
TO24805,Tonk,Rice Flour,2024-08-01,15,78
TO24905,Tonk,Besan,2024-08-01,4,170
TO25005,Tonk,Ragi Flour,2024-08-02,5,90
TO25105,Tonk,Jowar Flour,2024-08-02,2,80
TO25205,Tonk,Corn Flour,2024-08-02,4,82
TO25305,Tonk,Wheat Flour,2024-08-02,18,65
TO25405,Tonk,Rice Flour,2024-08-02,29,78
TO25505,Tonk,Besan,2024-08-03,6,170
TO25605,Tonk,Corn Flour,2024-08-03,2,82
TO25705,Tonk,Wheat Flour,2024-08-04,33,65
TO25805,Tonk,Rice Flour,2024-08-04,7,78
TO25905,Tonk,Besan,2024-08-04,4,170
TO26005,Tonk,Jowar Flour,2024-08-04,3,80
TO26105,Tonk,Corn Flour,2024-08-05,1,82
TO26205,Tonk,Jowar Flour,2024-08-05,3,80
TO26305,Tonk,Wheat Flour,2024-08-05,26,65
TO26405,Tonk,Rice Flour,2024-08-05,6,78
TO26505,Tonk,Rice Flour,2024-08-06,21,78
TO26605,Tonk,Besan,2024-08-06,4,170
TO26705,Tonk,Ragi Flour,2024-08-06,12,90
TO26805,Tonk,Jowar Flour,2024-08-06,2,80
TO26905,Tonk,Corn Flour,2024-08-07,4,82
TO27005,Tonk,Ragi Flour,2024-08-07,9,90
TO27105,Tonk,Wheat Flour,2024-08-07,43,65
TO27205,Tonk,Besan,2024-08-08,2,170
TO27305,Tonk,Wheat Flour,2024-08-08,15,65
TO27405,Tonk,Rice Flour,2024-08-08,34,78
TO27505,Tonk,Ragi Flour,2024-08-08,6,90
TO27605,Tonk,Jowar Flour,2024-08-08,4,80
TO27705,Tonk,Rice Flour,2024-08-09,18,78
TO27805,Tonk,Wheat Flour,2024-08-09,28,65
TO27905,Tonk,Besan,2024-08-09,6,170
TO28005,Tonk,Jowar Flour,2024-08-09,2,80
TO28105,Tonk,Corn Flour,2024-08-09,4,82
TO28205,Tonk,Rice Flour,2024-08-10,11,78
TO28305,Tonk,Besan,2024-08-10,3,170
TO28405,Tonk,Jowar Flour,2024-08-10,3,80
TO28505,Tonk,Corn Flour,2024-08-11,2,82
TO28605,Tonk,Wheat Flour,2024-08-11,28,65
TO28705,Tonk,Rice Flour,2024-08-11,20,78
TO28805,Tonk,Wheat Flour,2024-08-12,30,65
TO28905,Tonk,Ragi Flour,2024-08-12,2,90
TO29005,Tonk,Besan,2024-08-12,2,170
TO29105,Tonk,Rice Flour,2024-08-12,25,78
TO29205,Tonk,Wheat Flour,2024-08-12,16,65
TO29305,Tonk,Jowar Flour,2024-08-12,2,80
TO29405,Tonk,Besan,2024-08-13,3,170
TO29505,Tonk,Corn Flour,2024-08-13,5,82
TO29605,Tonk,Rice Flour,2024-08-14,11,78
TO29705,Tonk,Ragi Flour,2024-08-14,2,90
TO29805,Tonk,Jowar Flour,2024-08-15,3,80
TO29905,Tonk,Corn Flour,2024-08-15,4,82
TO30005,Tonk,Wheat Flour,2024-08-15,42,65
TO30105,Tonk,Rice Flour,2024-08-15,30,78
TO30205,Tonk,Besan,2024-08-15,3,170
TO30305,Tonk,Corn Flour,2024-08-16,3,82
TO30405,Tonk,Wheat Flour,2024-08-16,26,65
TO30505,Tonk,Rice Flour,2024-08-16,14,78
TO30605,Tonk,Besan,2024-08-17,4,170
TO30705,Tonk,Ragi Flour,2024-08-17,5,90
TO30805,Tonk,Wheat Flour,2024-08-17,40,65
TO30905,Tonk,Rice Flour,2024-08-18,20,78
TO31005,Tonk,Besan,2024-08-18,3,170
TO31105,Tonk,Jowar Flour,2024-08-18,2,80
TO31205,Tonk,Besan,2024-08-19,5,170
TO31305,Tonk,Ragi Flour,2024-08-19,4,90
TO31405,Tonk,Wheat Flour,2024-08-19,19,65
TO31505,Tonk,Rice Flour,2024-08-20,37,78
TO31605,Tonk,Wheat Flour,2024-08-22,34,65
TO31705,Tonk,Rice Flour,2024-08-22,5,78
TO31805,Tonk,Ragi Flour,2024-08-22,7,90
TO31905,Tonk,Besan,2024-08-23,7,170
TO32005,Tonk,Rice Flour,2024-08-23,13,78
TO32105,Tonk,Ragi Flour,2024-08-23,9,90
TO32205,Tonk,Jowar Flour,2024-08-23,3,80
TO32305,Tonk,Wheat Flour,2024-08-23,30,65
TO32405,Tonk,Rice Flour,2024-08-24,17,78
TO32505,Tonk,Besan,2024-08-24,2,170
TO32605,Tonk,Corn Flour,2024-08-25,4,82
TO32705,Tonk,Besan,2024-08-25,5,170
TO32805,Tonk,Wheat Flour,2024-08-25,28,65
TO32905,Tonk,Corn Flour,2024-08-26,1,82
TO33005,Tonk,Rice Flour,2024-08-27,5,78
TO33105,Tonk,Besan,2024-08-28,7,170
TO33205,Tonk,Corn Flour,2024-08-28,6,82
TO33305,Tonk,Jowar Flour,2024-08-29,3,80
TO33405,Tonk,Rice Flour,2024-08-29,8,78
TO33505,Tonk,Besan,2024-08-29,4,170
TO33605,Tonk,Ragi Flour,2024-08-29,13,90
TO33705,Tonk,Rice Flour,2024-08-30,5,78
TO33805,Tonk,Besan,2024-08-30,5,170
TO33905,Tonk,Ragi Flour,2024-08-30,8,90
TO34005,Tonk,Besan,2024-08-31,6,170
TO34105,Tonk,Ragi Flour,2024-08-31,12,90
TO34205,Tonk,Rice Flour,2024-08-31,34,78
TO34305,Tonk,Jowar Flour,2024-08-31,3,80
TO34405,Tonk,Corn Flour,2024-08-31,5,82
TO34505,Tonk,Wheat Flour,2024-08-31,30,65
